nomor_pohon,barcode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image4,chart_link
27,1904A09SMLJ0000000000128694.01,Leban perak,Vitex sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,60,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.134195592,116.7887813,5.146335999,3.44,Belum,-,-,Hari Yudistira,21/09/2021 14:17,200000,4215.31,-,"Chave et al, 2014",media/1632265912646.jpg,Caption,Source,SourceLink,media/1632265975666.jpg,Caption,Source,SourceLink,media/1632266187956.jpg,media/1632266240245.jpg,
27,1904A09SMLJ0000000000128694.02,Leban perak,Vitex sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,45,13,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.134195592,116.7887813,10.62592942,3.44,Belum,-,-,Hari Yudistira,21/09/2021 14:32,200000,2090.71,-,"Chave et al, 2014",media/1632266791724.jpg,Caption,Source,SourceLink,media/1632266838898.jpg,Caption,Source,SourceLink,media/1632267074722.jpg,media/1632267133866.jpg,
29,1904A09SMLJ0000000000128695,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,34.7,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.134446822,116.7887121,3.534858706,3.21,Belum,-,-,Hari Yudistira,21/09/2021 14:51,50000,1682.27,-,"Chave et al, 2014",media/1632268143489.jpg,Caption,Source,SourceLink,media/1632268172351.jpg,Caption,Source,SourceLink,media/1632268210189.jpg,media/1632268252371.jpg,
36,1904A09SMLJ0000000000128696,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,52,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.135264522,116.7886929,8.268010248,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:00,200000,4257.35,-,"Chave et al, 2014",media/1632268633705.jpg,Caption,Source,SourceLink,media/1632268706845.jpg,Caption,Source,SourceLink,media/1632268758955.jpg,media/1632268780986.jpg,
39,1904A09SMLJ0000000000128697,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,37,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.135995264,116.7888126,5.33806168,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:05,50000,2832.49,-,"Chave et al, 2014",media/1632268938721.jpg,Caption,Source,SourceLink,media/1632268961942.jpg,Caption,Source,SourceLink,media/1632269102450.jpg,media/1632269112346.jpg,
45,1904A09SMLJ0000000000128698,Asam kandis,Garcinia parfipolia,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,30,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.136620246,116.7888638,-21.84595963,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:09,200000,3298.07,-,"Chave et al, 2014",media/1632269277482.jpg,Caption,Source,SourceLink,media/1632269311385.jpg,Caption,Source,SourceLink,media/1632269341024.jpg,media/1632269357659.jpg,
48,1904A09SMLJ0000000000128699.01,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.136459505,116.7888903,7.274821296,3.18,Belum,-,-,Hari Yudistira,21/09/2021 15:13,200000,4345.3,-,"Chave et al, 2014",media/1632269496473.jpg,Caption,Source,SourceLink,media/1632269518195.jpg,Caption,Source,SourceLink,media/1632269558569.jpg,media/1632269572395.jpg,
48,1904A09SMLJ0000000000128699.02,Kelat,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.136459505,116.7888903,-5.043294669,3.19,Belum,-,-,Hari Yudistira,21/09/2021 15:23,200000,2869.22,-,"Chave et al, 2014",media/1632270067327.jpg,Caption,Source,SourceLink,media/1632270116773.jpg,Caption,Source,SourceLink,media/1632270145120.jpg,media/1632270171300.jpg,
55,1904A09SMLJ0000000000128700,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.135638733,116.7890309,27.54425996,3.19,Belum,-,-,Hari Yudistira,21/09/2021 15:28,200000,3072.7,-,"Chave et al, 2014",media/1632270427773.jpg,Caption,Source,SourceLink,media/1632270451655.jpg,Caption,Source,SourceLink,media/1632270478351.jpg,media/1632270493947.jpg,
59,1904A09SMLJ0000000000128701,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,37,22,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.135065299,116.7889751,19.33617475,3.17,Belum,-,-,Hari Yudistira,21/09/2021 15:32,50000,2092.68,-,"Chave et al, 2014",media/1632270668960.jpg,Caption,Source,SourceLink,media/1632270687002.jpg,Caption,Source,SourceLink,media/1632270727228.jpg,media/1632270760542.jpg,
74,1904A09SMLJ0000000000128703,Rengas,Gluta renghas,Pohon Dewasa,icon/mature_tree.svg,Not Defined,48,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.134476744,116.7889364,-8.18634436,3.16,Belum,-,-,Hari Yudistira,21/09/2021 15:44,200000,3379.76,-,"Chave et al, 2014",media/1632271342231.jpg,Caption,Source,SourceLink,media/1632271388110.jpg,Caption,Source,SourceLink,media/1632271411245.jpg,media/1632271433978.jpg,
76,1904A09SMLJ0000000000128704,Timah-Timah,Ilex,Pohon Muda,icon/young_tree.svg,Not Defined,36,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.13434098,116.7889357,7.564393531,3.15,Belum,-,-,Hari Yudistira,21/09/2021 15:47,50000,1541.35,-,"Chave et al, 2014",media/1632271544654.jpg,Caption,Source,SourceLink,media/1632271591474.jpg,Caption,Source,SourceLink,media/1632271613110.jpg,media/1632271635190.jpg,
83,1904A09SMLJ0000000000128705,Belanti,Coccoceras borneense,Pohon Muda,icon/young_tree.svg,Not Defined,39,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.1332787,116.7889492,15.6224351,3.16,Belum,-,-,Hari Yudistira,21/09/2021 15:53,50000,2370.46,-,"Chave et al, 2014",media/1632271802104.jpg,Caption,Source,SourceLink,media/1632271940642.jpg,Caption,Source,SourceLink,media/1632271959201.jpg,media/1632271983585.jpg,
89,1904A09SMLJ0000000000128707.01,Buto Buto/Guah Guah,-,Pohon Muda,icon/young_tree.svg,Not Defined,39,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132678388,116.7889291,7.754886284,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:00,50000,2740.58,-,"Brown, 1997",media/1632272331076.jpg,Caption,Source,SourceLink,media/1632272368458.jpg,Caption,Source,SourceLink,media/1632272406973.jpg,media/1632272427889.jpg,
89,1904A09SMLJ0000000000128707.02,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,17,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132678388,116.7889291,10.23583197,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:03,200000,3305.75,-,"Brown, 1997",media/1632272556053.jpg,Caption,Source,SourceLink,media/1632272578707.jpg,Caption,Source,SourceLink,media/1632272610589.jpg,media/1632272626879.jpg,
92,1904A09SMLJ0000000000128708,Simpur,Dillenia sp.,Pohon Muda,icon/young_tree.svg,Least Concern,33,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132209375,116.7889272,5.594407757,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:07,50000,1323.43,-,"Chave et al, 2014",media/1632272733324.jpg,Caption,Source,SourceLink,media/1632272759313.jpg,Caption,Source,SourceLink,media/1632272826815.jpg,media/1632272852993.jpg,
93,1904A09SMLJ0000000000128709,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,51,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132116689,116.7889445,11.22594104,3.13,Belum,-,-,Hari Yudistira,21/09/2021 16:12,200000,5402.59,-,"Brown, 1997",media/1632272967560.jpg,Caption,Source,SourceLink,media/1632273096979.jpg,Caption,Source,SourceLink,media/1632273147660.jpg,media/1632273164515.jpg,
94,1904A09SMLJ0000000000128710,Buto Buto/Guah Guah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,51,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.13211668,116.7888815,8.126473977,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:17,200000,5402.59,-,"Brown, 1997",media/1632273330548.jpg,Caption,Source,SourceLink,media/1632273351148.jpg,Caption,Source,SourceLink,media/1632273428110.jpg,media/1632273456599.jpg,
96,1904A09SMLJ0000000000128711,Leban bunga,Vitex Pinnata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,47,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.131516883,116.7888705,12.76935094,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:23,200000,5057.61,-,"Chave et al, 2014",media/1632273613570.jpg,Caption,Source,SourceLink,media/1632273650439.jpg,Caption,Source,SourceLink,media/1632273779847.jpg,media/1632273801926.jpg,
104,1904A09SMLJ0000000000128712,Buto Buto/Gurah Gurah,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,28,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132673953,116.789073,11.04325398,3.12,Belum,-,-,Hari Yudistira,21/09/2021 16:27,200000,2921.87,-,"Brown, 1997",media/1632273915993.jpg,Caption,Source,SourceLink,media/1632273937902.jpg,Caption,Source,SourceLink,media/1632274003142.jpg,media/1632274016088.jpg,
109,1904A09SMLJ0000000000128714.01,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,25,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132803153,116.7891424,-6.898748652,3.15,Belum,-,-,Hari Yudistira,21/09/2021 16:32,200000,3328.42,-,"Chave et al, 2014",media/1632274237645.jpg,Caption,Source,SourceLink,media/1632274271449.jpg,Caption,Source,SourceLink,media/1632274298132.jpg,media/1632274331157.jpg,
109,1904A09SMLJ0000000000128714.02,Asam kandis,Garcinia parfipolia,Pohon Muda,icon/young_tree.svg,Not Defined,36,12,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.132803153,116.7891424,-4.612478122,3.24,Belum,-,-,Hari Yudistira,21/09/2021 16:59,50000,1097.87,-,"Chave et al, 2014",media/1632275889280.jpg,Caption,Source,SourceLink,media/1632275910629.jpg,Caption,Source,SourceLink,media/1632275948264.jpg,media/1632275970642.jpg,
111,1904A09SMLJ0000000000128715,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,52,15,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.133380567,116.7891167,12.3126142,3.23,Belum,-,-,Putri,21/09/2021 17:02,200000,3215.13,-,"Chave et al, 2014",media/1632276092166.jpg,Caption,Source,SourceLink,media/1632276109895.jpg,Caption,Source,SourceLink,media/1632276129833.jpg,media/1632276139881.jpg,
112,1904A09SMLJ0000000000128716,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,44,20,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.133380562,116.7890808,5.230679448,3.23,Belum,-,-,Hari Yudistira,21/09/2021 17:06,200000,3072.7,-,"Chave et al, 2014",media/1632276265085.jpg,Caption,Source,SourceLink,media/1632276282768.jpg,Caption,Source,SourceLink,media/1632276377917.jpg,media/1632276402606.jpg,
116,1904A09SMLJ0000000000128717,Simpur,Dillenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,41,13,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Pulau Tilan,2.133943785,116.7891725,11.89174077,3.21,Belum,-,-,Devita,21/09/2021 14:52,200000,1758.16,-,"Chave et al, 2014",media/1632210660923.jpg,Caption,Source,SourceLink,media/1632210681801.jpg,Caption,Source,SourceLink,media/1632210706508.jpg,media/1632210732695.jpg,
