id,kode_pohon,nama_lokal,nama_latin,wood_density,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image3Caption,Image3Source,Image3SourceLink,Image4,Image4Caption,Image4Source,Image4SourceLink,chart_link
1,IP0003,Meranti bunga,Shorea ovalis,0.5175,Pohon Dewasa,icon/mature_tree.svg,Endangered,57,20,LPHA Petapahan,Mineral,Imbo Putui,0.5464914,101.0571098,21,0.0104,Belum,-,-,Idris,12/3/2020 12:35,200000,3889.08,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606973638585.jpg,bb,bbnn,bbvvv,media/1606973670750.jpg,,,,media/,,,,
2,IP0004,Kayu batu,Eusideroxylon zwageri,0.9159,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,296,30,LPHA Petapahan,Mineral,Imbo Putui,0.5460777,101.0565256,45,0.0111,Belum,-,-,Habib,12/3/2020 12:45,200000,251300.18,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606974219816.jpg,bb,bbnn,bbvvv,media/1606974286718.jpg,,,,media/,,,,
3,IP0005,Malapaghi,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,76,25,LPHA Petapahan,Mineral,Imbo Putui,0.5459376,101.0559755,26,0.0116,Belum,-,-,Fajrul,12/3/2020 12:53,200000,14822.04,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606974735472.jpg,bb,bbnn,bbvvv,media/1606974754928.jpg,,,,media/,,,,
4,IP0006,Lalan,Santiria laevigata,0.5733,Pohon Dewasa,icon/mature_tree.svg,Least Concern,87,25,LPHA Petapahan,Mineral,Imbo Putui,0.5463385,101.0566421,44,0.0108,Belum,-,-,Joni,12/3/2020 12:59,200000,12198.58,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606975090788.jpg,bb,bbnn,bbvvv,media/1606975106438.jpg,,,,media/,,,,
5,IP0007,Lalan,Santiria laevigata,0.5733,Pohon Dewasa,icon/mature_tree.svg,Least Concern,63,20,LPHA Petapahan,Mineral,Imbo Putui,0.5459566,101.0568801,22,0.0108,Belum,-,-,Fajrul,12/3/2020 14:36,200000,5225.12,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606980891226.jpg,bb,bbnn,bbvvv,media/1606980927485.jpg,,,,media/,,,,
6,IP0008,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,70,20,LPHA Petapahan,Mineral,Imbo Putui,0.5459851,101.0567509,53,0.0109,Belum,-,-,Idris,12/3/2020 14:40,200000,10464.14,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606981171895.jpg,bb,bbnn,bbvvv,media/1606981192519.jpg,,,,media/,,,,
7,IP0009,Kayu kosiok,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,73,20,LPHA Petapahan,Mineral,Imbo Putui,0.5458501,101.0565477,45,0.0111,Belum,-,-,Joni,12/3/2020 14:46,200000,13386.17,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606981512210.jpg,bb,bbnn,bbvvv,media/1606981531311.jpg,,,,media/,,,,
8,IP0011,Kayu kosiok,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,146,30,LPHA Petapahan,Mineral,Imbo Putui,0.5451972,101.0570134,44,0.011,Belum,-,-,Said Faizan,12/3/2020 14:53,200000,77314.75,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606981914508.jpg,bb,bbnn,bbvvv,media/1606981943700.jpg,,,,media/,,,,
9,IP0001,Lalan,Santiria laevigata,0.5733,Pohon Dewasa,icon/mature_tree.svg,Least Concern,71,20,LPHA Petapahan,Mineral,Imbo Putui,0.5461852,101.0570766,85.94091797,0.0105,Belum,-,-,Idris,12/3/2020 12:05,200000,6598.42,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606972262759.jpg,bb,bbnn,bbvvv,media/1606972283479.jpg,,,,media/,,,,
10,IP0013,Lalan,Santiria laevigata,0.5733,Pohon Muda,icon/young_tree.svg,Least Concern,76,20,LPHA Petapahan,Mineral,Imbo Putui,0.5450167,101.0572415,35,0.0109,Belum,-,-,Idris,12/3/2020 15:00,200000,7535.84,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606982399733.jpg,bb,bbnn,bbvvv,media/1606982411114.jpg,,,,media/,,,,
11,IP0014,Timah-Timah,Ilex,0.5913,Pohon Dewasa,icon/mature_tree.svg,Not Defined,67,30,LPHA Petapahan,Mineral,Imbo Putui,0.5447212,101.0571682,39,0.0111,Belum,-,-,Joni,12/3/2020 15:05,200000,9020.91,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606982677254.jpg,bb,bbnn,bbvvv,media/1606982695678.jpg,,,,media/,,,,
12,IP0015,Lalan,Santiria laevigata,0.5733,Pohon Dewasa,icon/mature_tree.svg,Least Concern,96,20,LPHA Petapahan,Mineral,Imbo Putui,0.5446721,101.0570654,31,0.0112,Belum,-,-,Fajrul,12/3/2020 15:08,200000,11889.86,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606982899336.jpg,bb,bbnn,bbvvv,media/1606982925232.jpg,,,,media/,,,,
13,IP0016,Meranti kunyit,Shorea hemsleyana,0.701,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,70,30,LPHA Petapahan,Mineral,Imbo Putui,0.5446989,101.0569202,55,0.0114,Belum,-,-,Joni,12/3/2020 15:12,200000,11601.65,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606983153890.jpg,bb,bbnn,bbvvv,media/1606983168665.jpg,,,,media/,,,,
14,IP0018,Kayu batu,Eusideroxylon zwageri,0.9159,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,73,20,LPHA Petapahan,Mineral,Imbo Putui,0.5444212,101.0567299,21,0.0117,Belum,-,-,Said Faizan,12/3/2020 15:20,200000,11004.56,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606983607644.jpg,bb,bbnn,bbvvv,media/1606983628048.jpg,,,,media/,,,,
15,IP0002,Entangu,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,20,LPHA Petapahan,Mineral,Imbo Putui,0.5463214,101.0570355,55.95019531,0.0105,Belum,-,-,Fajrul,12/3/2020 12:20,200000,5138.59,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606973025278.jpg,bb,bbnn,bbvvv,media/1606973043073.jpg,,,,media/,,,,
16,IP0019,Lalan,Santiria laevigata,0.5733,Pohon Dewasa,icon/mature_tree.svg,Least Concern,86,20,LPHA Petapahan,Mineral,Imbo Putui,0.5443239,101.0567719,33,0.0117,Belum,-,-,Joni,12/3/2020 15:23,200000,9592.34,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606983752487.jpg,bb,bbnn,bbvvv,media/1606983790995.jpg,,,,media/,,,,
17,IP0020,Cempedak hutan,Artocarpus heterophyllus,0.5359,Pohon Dewasa,icon/mature_tree.svg,Not Defined,57,20,LPHA Petapahan,Mineral,Imbo Putui,0.5441613,101.0568023,30,0.0117,Belum,-,-,Idris,12/3/2020 15:26,200000,4023.98,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606984005198.jpg,bb,bbnn,bbvvv,media/1606984025281.jpg,,,,media/,,,,
18,IP0021,Meranti pirang,Shorea parvifolia,0.5441,Pohon Dewasa,icon/mature_tree.svg,Least Concern,67,25,LPHA Petapahan,Mineral,Imbo Putui,0.5439954,101.0567003,42,0.0119,Belum,-,-,Joni,12/3/2020 15:32,200000,6961.57,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606984330673.jpg,bb,bbnn,bbvvv,media/1606984351771.jpg,,,,media/,,,,
19,IP0017,Jelutung,Dyera costulata,0.4145,Pohon Dewasa,icon/mature_tree.svg,Least Concern,70,25,LPHA Petapahan,Mineral,Imbo Putui,0.5444518,101.0568992,34.15979004,0.0115,Belum,-,-,Idris,12/3/2020 15:14,200000,5814.63,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606983459805.jpg,bb,bbnn,bbvvv,media/1606983475393.jpg,,,,media/,,,,
20,IP0010,Pasir-pasir,Guettarda speciosa,0.69,Pohon Dewasa,icon/mature_tree.svg,Least Concern,83,20,LPHA Petapahan,Mineral,Imbo Putui,0.5456536,101.0567451,61.72753587,0.011,Belum,-,-,Idris,12/3/2020 14:47,200000,10724.07,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606981735407.jpg,bb,bbnn,bbvvv,media/1606981726138.jpg,,,,media/,,,,
21,IP0023,Kulim,Scorodocarpus borneensis,0.8188,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,20,LPHA Petapahan,Mineral,Imbo Putui,0.5438511,101.056619,51,0.0121,Belum,-,-,Idris,12/3/2020 15:38,200000,4712.52,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606984685030.jpg,bb,bbnn,bbvvv,media/1606984661940.jpg,,,,media/,,,,
22,IP0024,Meranti pirang,Shorea parvifolia,0.5441,Pohon Dewasa,icon/mature_tree.svg,Least Concern,70,20,LPHA Petapahan,Mineral,Imbo Putui,0.5436767,101.0564121,41,0.0123,Belum,-,-,Joni,12/3/2020 15:49,200000,6098.97,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606985374049.jpg,bb,bbnn,bbvvv,media/1606985359826.jpg,,,,media/,,,,
23,IP0025,Kedundung,Spondias dulcis,0.3274,Pohon Dewasa,icon/mature_tree.svg,Not Defined,95,20,LPHA Petapahan,Mineral,Imbo Putui,0.5435253,101.0562874,38,0.0125,Belum,-,-,Said Faizan,12/3/2020 15:55,200000,6742.73,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606985652194.jpg,bb,bbnn,bbvvv,media/1606985674998.jpg,,,,media/,,,,
24,IP0026,Meranti kunyit,Shorea hemsleyana,0.701,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,66,25,LPHA Petapahan,Mineral,Imbo Putui,0.5434649,101.0563691,40,0.0125,Belum,-,-,Fajrul,12/3/2020 15:58,200000,8656.8,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606985863462.jpg,bb,bbnn,bbvvv,media/1606985880228.jpg,,,,media/,,,,
25,IP0027,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,88,20,LPHA Petapahan,Mineral,Imbo Putui,0.543433,101.0564128,61,0.0125,Belum,-,-,Idris,12/3/2020 16:01,200000,16356.96,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606986077840.jpg,bb,bbnn,bbvvv,media/1606986097808.jpg,,,,media/,,,,
26,IP0028,Pighe,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,73,20,LPHA Petapahan,Mineral,Imbo Putui,0.5430721,101.0562609,15,0.0128,Belum,-,-,Joni,12/3/2020 16:07,200000,13386.17,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606986432047.jpg,bb,bbnn,bbvvv,media/1606986459061.jpg,,,,media/,,,,
27,IP0029,Meranti pirang,Shorea parvifolia,0.5441,Pohon Dewasa,icon/mature_tree.svg,Least Concern,82,25,LPHA Petapahan,Mineral,Imbo Putui,0.5429804,101.0561475,35,0.013,Belum,-,-,Fajrul,12/3/2020 16:12,200000,10326.99,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606986707661.jpg,bb,bbnn,bbvvv,media/1606986721205.jpg,,,,media/,,,,
28,IP0030,Kulim,Scorodocarpus borneensis,0.8188,Pohon Dewasa,icon/mature_tree.svg,Not Defined,73,20,LPHA Petapahan,Mineral,Imbo Putui,0.5428867,101.0560694,44,0.0131,Belum,-,-,Joni,12/3/2020 16:16,200000,9864.39,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606986957867.jpg,bb,bbnn,bbvvv,media/1606986979357.jpg,,,,media/,,,,
29,IP0031,Meranti bunga,Shorea ovalis,0.5175,Pohon Dewasa,icon/mature_tree.svg,Endangered,85,25,LPHA Petapahan,Mineral,Imbo Putui,0.5429167,101.0560219,48,0.0131,Belum,-,-,Fajrul,12/3/2020 16:19,200000,10548.46,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606987173727.jpg,bb,bbnn,bbvvv,media/1606987187586.jpg,,,,media/,,,,
30,IP0032,Kelat merah,Eugenia sp.,0.7695,Pohon Dewasa,icon/mature_tree.svg,Endangered,127,20,LPHA Petapahan,Mineral,Imbo Putui,0.5429089,101.0559171,35,0.0132,Belum,-,-,Said Faizan,12/3/2020 16:23,200000,27363.21,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606987397169.jpg,bb,bbnn,bbvvv,media/1606987425230.jpg,,,,media/,,,,
31,IP0033,Meranti bunga,Shorea ovalis,0.5175,Pohon Dewasa,icon/mature_tree.svg,Endangered,63,20,LPHA Petapahan,Mineral,Imbo Putui,0.5429021,101.0555531,55,0.0135,Belum,-,-,Joni,12/3/2020 16:28,200000,4728.16,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606987676985.jpg,bb,bbnn,bbvvv,media/1606987694654.jpg,,,,media/,,,,
32,IP0034,Damar,Shorea sp.,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,191,30,LPHA Petapahan,Mineral,Imbo Putui,0.5430586,101.0554896,42,0.0135,Belum,-,-,Joni,12/3/2020 16:34,200000,152568.22,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606988014382.jpg,bb,bbnn,bbvvv,media/1606988033481.jpg,,,,media/,,,,
33,IP0035,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,25,LPHA Petapahan,Mineral,Imbo Putui,0.5432767,101.0553562,40,0.0134,Belum,-,-,Idris,12/3/2020 16:53,200000,6745.99,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606989169596.jpg,bb,bbnn,bbvvv,media/1606989192023.jpg,,,,media/,,,,
34,IP0036,Kayu batu,Eusideroxylon zwageri,0.9159,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,207,25,LPHA Petapahan,Mineral,Imbo Putui,0.543278,101.0553684,64,0.0134,Belum,-,-,Joni,12/3/2020 16:59,200000,104646.48,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606989559708.jpg,bb,bbnn,bbvvv,media/1606989576690.jpg,,,,media/,,,,
35,IP0037,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,66,20,LPHA Petapahan,Mineral,Imbo Putui,0.5434504,101.0554132,37,0.0133,Belum,-,-,Joni,12/3/2020 17:03,200000,9328.72,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606989760716.jpg,bb,bbnn,bbvvv,media/1606989780629.jpg,,,,media/,,,,
36,IP0038,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,117,20,LPHA Petapahan,Mineral,Imbo Putui,0.5436545,101.0556839,34,0.013,Belum,-,-,Fajrul,12/3/2020 17:09,200000,28521.42,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606990110641.jpg,bb,bbnn,bbvvv,media/1606990129384.jpg,,,,media/,,,,
37,IP0039,Meranti kunyit,Shorea hemsleyana,0.701,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,103,25,LPHA Petapahan,Mineral,Imbo Putui,0.5439495,101.0556624,49,0.0128,Belum,-,-,Fajrul,12/3/2020 17:14,200000,20637.92,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606990421259.jpg,bb,bbnn,bbvvv,media/1606990436801.jpg,,,,media/,,,,
38,IP0040,Kuranji,Dialium sp.,0.946,Pohon Dewasa,icon/mature_tree.svg,Not Defined,102,30,LPHA Petapahan,Mineral,Imbo Putui,0.5437253,101.0552125,42,0.0133,Belum,-,-,Joni,12/3/2020 17:19,200000,32413.43,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606990720381.jpg,bb,bbnn,bbvvv,media/1606990733468.jpg,,,,media/,,,,
39,IP0041,Pitatal,Ochanostachys amentacea,0.875,Pohon Dewasa,icon/mature_tree.svg,Data Deficient,57,20,LPHA Petapahan,Mineral,Imbo Putui,0.5442739,101.0549999,29,0.0132,Belum,-,-,Said Faizan,12/3/2020 17:24,200000,6493.37,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606991024659.jpg,bb,bbnn,bbvvv,media/1606991050172.jpg,,,,media/,,,,
40,IP0042,Meranti pirang,Shorea parvifolia,0.5441,Pohon Dewasa,icon/mature_tree.svg,Least Concern,54,20,LPHA Petapahan,Mineral,Imbo Putui,0.5443135,101.0549251,45,0.0133,Belum,-,-,Fajrul,12/3/2020 17:26,200000,3675,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606991247597.jpg,bb,bbnn,bbvvv,media/1606991261656.jpg,,,,media/,,,,
41,IP0043,Meranti bunga,Shorea ovalis,0.5175,Pohon Dewasa,icon/mature_tree.svg,Endangered,63,20,LPHA Petapahan,Mineral,Imbo Putui,0.5443615,101.0548491,39,0.0133,Belum,-,-,Fajrul,12/3/2020 17:31,200000,4728.16,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606991427170.jpg,bb,bbnn,bbvvv,media/1606991439563.jpg,,,,media/,,,,
42,IP0044,Kompe,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,143,30,LPHA Petapahan,Mineral,Imbo Putui,0.5445773,101.0546673,54,0.0134,Belum,-,-,Joni,12/3/2020 17:34,200000,73358.4,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606991668696.jpg,bb,bbnn,bbvvv,media/1606991685178.jpg,,,,media/,,,,
43,IP0045,Kayu batu,Eusideroxylon zwageri,0.9159,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,194,25,LPHA Petapahan,Mineral,Imbo Putui,0.5445148,101.0546093,43,0.0135,Belum,-,-,Joni,12/3/2020 17:40,200000,92201.81,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606992000393.jpg,bb,bbnn,bbvvv,media/1606992024035.jpg,,,,media/,,,,
44,IP0046,Meranti bunga,Shorea ovalis,0.5175,Pohon Dewasa,icon/mature_tree.svg,Endangered,54,20,LPHA Petapahan,Mineral,Imbo Putui,0.5446726,101.0546687,25,0.0133,Belum,-,-,Joni,12/3/2020 17:50,200000,3499.55,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606992371494.jpg,bb,bbnn,bbvvv,media/1606992386420.jpg,,,,media/,,,,
45,IP0012,Ambacang hutan,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,108,25,LPHA Petapahan,Mineral,Imbo Putui,0.545125,101.057001,47,0.0111,Belum,-,-,Fajrul,12/3/2020 14:55,200000,36058.84,-,"Brown, 1997",media/,aa,abb,abbcc,media/1606982149284.jpg,bb,bbnn,bbvvv,media/1606982159522.jpg,,,,media/,,,,
46,IP0022,Meranti pirang,Shorea parvifolia,0.5441,Pohon Dewasa,icon/mature_tree.svg,Least Concern,70,25,LPHA Petapahan,Mineral,Imbo Putui,0.543728,101.0566119,32.07094124,0.0121,Belum,-,-,Idris,12/3/2020 15:36,200000,7582.99,-,"Chave et al, 2014",media/,aa,abb,abbcc,media/1606984558669.jpg,bb,bbnn,bbvvv,media/1606984569904.jpg,,,,media/,,,,
49,IP0047,Mempening,Quercus argentata,0.83,Pohon Dewasa,icon/mature_tree.svg,Least Concern,66,20,LPHA Petapahan,Mineral,Imbo Putui,0.5419519,101.0657663,-16.3416381,0.0061,Belum,-,-,Wido,5/27/2021 14:38,200000,8210.56,-,"Chave et al, 2014",media/1622101035081.jpg,aa,abb,abbcc,media/1622101053639.jpg,bb,bbnn,bbvvv,media/1622101071719.jpg,,,,media/1622101112834.jpg,,,,
50,IP0049,Rengas,Gluta aptera,0.679,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,20,LPHA Petapahan,Mineral,Imbo Putui,0.5416987,101.0662411,37.6474538,0.0058,Belum,-,-,Wido,5/27/2021 14:54,200000,3925.52,-,"Chave et al, 2014",media/1622101940862.jpg,aa,abb,abbcc,media/1622102035980.jpg,bb,bbnn,bbvvv,media/1622102051424.jpg,,,,media/1622102067228.jpg,,,,
51,IP0048,Kuras,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,114,25,LPHA Petapahan,Mineral,Imbo Putui,0.5417393,101.0659776,35.20012902,0.006,Belum,-,-,Wido,5/27/2021 14:56,200000,41344.61,-,"Brown, 1997",media/1622102137269.jpg,aa,abb,abbcc,media/1622102150889.jpg,bb,bbnn,bbvvv,media/1622102159711.jpg,,,,media/1622102178317.jpg,,,,
52,IP0050,Mempening,Quercus argentata,0.83,Pohon Dewasa,icon/mature_tree.svg,Least Concern,58,20,LPHA Petapahan,Mineral,Imbo Putui,0.5418762,101.0658177,35.69392648,0.0061,Belum,-,-,Wido,5/27/2021 15:01,200000,6380.2,-,"Chave et al, 2014",media/1622102691890.jpg,aa,abb,abbcc,media/1622102641265.jpg,bb,bbnn,bbvvv,media/1622102659603.jpg,,,,media/1622102673775.jpg,,,,
53,IP0051,Osak bubu,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,44,20,LPHA Petapahan,Mineral,Imbo Putui,0.5418321,101.0656319,35.84960912,0.0062,Belum,-,-,Wido,5/27/2021 15:07,200000,3718.65,-,"Brown, 1997",media/1622102874454.jpg,aa,abb,abbcc,media/1622102883756.jpg,bb,bbnn,bbvvv,media/1622102892847.jpg,,,,media/1622102902422.jpg,,,,
54,IP0052,Keruing,Dipterocarpus sp.,0.7194,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,20,LPHA Petapahan,Mineral,Imbo Putui,0.5416555,101.0653341,35.37378759,0.0066,Belum,-,-,Wido,5/27/2021 15:10,200000,2955.21,-,"Chave et al, 2014",media/1622103163664.jpg,aa,abb,abbcc,media/1622103100578.jpg,bb,bbnn,bbvvv,media/1622103118350.jpg,,,,media/1622103142057.jpg,,,,
55,IP0053,Pireh,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,20,LPHA Petapahan,Mineral,Imbo Putui,0.5411169,101.0654095,34.8965979,0.0068,Belum,-,-,Wido,5/27/2021 15:14,200000,5138.59,-,"Brown, 1997",media/1622103400158.jpg,aa,abb,abbcc,media/1622103361915.jpg,bb,bbnn,bbvvv,media/1622103372193.jpg,,,,media/1622103381652.jpg,,,,
56,IP0054,Koreh,-,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,65,25,LPHA Petapahan,Mineral,Imbo Putui,0.5414096,101.0652137,40.5827113,0.0068,Belum,-,-,Wido,5/27/2021 15:19,200000,9979.77,-,"Brown, 1997",media/1622103680860.jpg,aa,abb,abbcc,media/1622103614507.jpg,bb,bbnn,bbvvv,media/1622103627103.jpg,,,,media/1622103658921.jpg,,,,
57,IP0055,Rambutan hutan,Pometia,0.7289,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,20,LPHA Petapahan,Mineral,Imbo Putui,0.5409354,101.0648628,-85.0500259,0.0073,Belum,-,-,Wido,5/27/2021 15:22,200000,2993.29,-,"Chave et al, 2014",media/1622103844435.jpg,aa,abb,abbcc,media/1622103797545.jpg,bb,bbnn,bbvvv,media/1622103809131.jpg,,,,media/1622103824259.jpg,,,,
