nomor_pohon,barcode_pohon,jenis_pohon,nomor_petak,luas_petak,nomor_jalur,arah_jalur,panjang_jalur,status_pohon, Group ,Icon,Latitude,Longitude, panjang_pohon ,pangkal_pohon,ujung_pohon,rata_rata_pohon, volume_pohon ,no_produk,Image1,Image2,chart_link
27,1904A09SMLJ0000000000128694.01,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.134195592,116.7887813,19.4,93,72,82,10.25,1719,media/,media/,
27,1904A09SMLJ0000000000128694.02,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.134195592,116.7887813,15,72,56,64,4.83,1720,media/,media/,
29,1904A09SMLJ0000000000128695,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.134446822,116.7887121,22.6,65,56,60,6.39,1718,media/,media/,
36,1904A09SMLJ0000000000128696,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Belum Tebang,icon/young_tree.svg,2.135264522,116.7886929,-,-,-,-,-,-,media/,media/,
39,1904A09SMLJ0000000000128697,Meranti Merah,X-01,57,1,UTARA,626,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.135995264,116.7888126,20,53,35,44,3.04,1734,media/,media/,
45,1904A09SMLJ0000000000128698,Kapur,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.136620246,116.7888638,20.5,59,37,48,3.71,2062,media/,media/,
48,1904A09SMLJ0000000000128699.01,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.136459505,116.7888903,15,70,60,65,4.98,1726,media/,media/,
48,1904A09SMLJ0000000000128699.02,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.136459505,116.7888903,17.4,60,46,53,3.84,1732,media/,media/,
55,1904A09SMLJ0000000000128700,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.135638733,116.7890309,12.1,97,90,93,8.07,1743,media/,media/,
59,1904A09SMLJ0000000000128701,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.135065299,116.7889751,19.8,60,50,55,4.7,1727,media/,media/,
74,1904A09SMLJ0000000000128703,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.134476744,116.7889364,19.6,75,60,67,6.91,1762,media/,media/,
76,1904A09SMLJ0000000000128704,Meranti Merah,X-01,57,2,SELATAN,629,POHON TEBANG,Sudah Tebang,icon/mature_tree.svg,2.13434098,116.7889357,22.4,56,36,46,3.72,1756,media/,media/,
